,VA_CATEGORY,VA_LABEL,DEFINITION,Unnamed: 3,Unnamed: 4,Unnamed: 5,ANNOTATION_TW,ANNOTATION_AP
245,va:0385f,DELAY,An agent DELAYS a theme for an extent from a source to a destination,bn:00086514v,Cause to be slowed down or delayed,"Delay, retard, procrastinate.",A,N
255,va:0401f,HOST_MEAL_INVITE,An agent HOSTS-GIVE A MEAL TO-INVITES a beneficiary,bn:00089484v,Be the host of or for,"Invite, receive, host.",N,B
271,va:0424f,AFFIRM,An agent AFFIRMS a theme to a recipient (+attribute),bn:00082435v,To declare or affirm solemnly and formally as true,"Assert, affirm, report.",N,B
285,va:0441f,BURN,An agent BURNS a patient using an instrument,bn:00084272v,Undergo combustion,"Burn, combust, sear.",N,A
292,va:0449f,LIGHTEN,An agent LIGHTENS a patient of an extent,bn:00084052v,Make lighter or brighter,"Lighten, brighten.",B,N
306,va:0470f,SLOW-DOWN,An agent SLOWS DOWN a patient from a source state to a destination state,bn:00086364v ,Lose velocity; move more slowly,"Slow down, decelerate, retard.",N,A
316,va:0482f,MESS,An agent MESSES a patient in a location using an instrument,bn:00090749v,Make a mess of or create disorder in,"Mess up, ruffle, destabilize.",A,N
318,va:0486f,OVERCOME_SURPASS,A theme OVERCOMES-SURPASSES a co-theme in an attribute of an extent,bn:00087795v,Be or do something to a greater degree,"Overcome, surpass, exceed.",A,B
319,va:0487f,SIMPLIFY,An agent SIMPLIFIES a patient,bn:00093755v,Make simpler or easier or reduce in complexity or extent,"Simplify, facilitate, help.",B,N
326,va:0500f,SPEED-UP,An agent SPEEDS UP a theme of an extent from source speed to a destination speed,bn:00083190v,Spend or use time,"Speed up, hasten, accelerate.",N,B
347,va:0532f,BLIND,An agent BLINDS a patient with a theme,bn:00083604v,Render unable to see,"Blind, abacinate.",A,N
348,va:0533f,FAIL_LOSE,A cause makes an agent FAILS-LOSE a theme from a source to a destination for an extent in a location with a co-agent,bn:00087967v,Be unsuccessful,"Fail, lose.",A,N
356,va:0546f,FLATTER,An agent FLATTERS a patient with a topic,bn:00083550v,Praise somewhat dishonestly,"Adulate, flatter.",A,N
364,va:0558f,FORGET,An agent FORGETS a theme,bn:00087488v,Remove completely from recognition or memory,"Forget, obliterate, unlearn.",A,N
366,va:0560f,RESIGN_RETIRE,An agent RESIGNS-RETIRES from a source,bn:00090280v,Give up or retire from a position,"Withdraw, retire, resign.",A,N
367,va:0561f,SPOIL,A cause makes a patient SPOIL with a result,bn:00088943v,Become unfit for consumption or use,"Spoil, wilt.",A,N
373,va:0568f,REGRET_SORRY,An experiencer REGRETS is SORRY for a stimulus to a destination,bn:00092683v,Feel remorse for; feel sorry for; be contrite about,"Regret, repent.",A,N
384,va:0580f,JOIN_CONNECT,An agent JOINS-CONNECTS a patient with a co-patient using an instrument having a result,bn:00084107v,Cause to become joined or linked,"Connect, join, link.",N,B
385,va:0581f,DRIVE-BACK,An agent DRIVES BACK a theme from a source to a destination using an instrument (+attribute),bn:00087348v,Force or drive back,"Banish, deport, excommunicate.",A,N
409,va:0619f,CAUSE-SMT,An agent CAUSES to a patient a result using an instrument,bn:00084699v,Give rise to; cause to happen or occur not always intentionally,"Cause, yield, account for something.",N,B
410,va:0620f,ASCRIBE,An agent ASCRIBES an attribute to a theme,bn:00082815v,Attribute or credit to,"Ascribe, impute, credit.",N,B
421,va:0631f,WELCOME,An agent WELCOMES a theme using an instrument (+attribute),bn:00092491v,Bid welcome to; greet upon arrival,"Welcome, salute, greet.",B,N
422,va:0632f,AUX_MOD,_,_,_,_,,N
426,va:1001f,AUXILIARY,_,_,_,_,,N
427,va:1002f,LIGHT-VERB,_,_,_,_,,N
428,va:1003f,DISCOURSE-FUNCTION,_,_,_,_,,N
429,va:1004f,COPULA,_,_,_,_,,N
430,va:1005f,MUST,_,_,_,_,,N
431,va:1006f,MODAL,_,_,_,_,,
